sp_planta;Formicidae_sp1;Formicidae_sp2;Formicidae_sp3;Formicidae_sp4;Coccinellidae_sp1;Coccinellidae_sp2;Coccinellidae_sp3;Coreidae_sp;Elateridae_sp;Carabidae_sp;palpada_precipua;palpada_vinetorum;palpada_conica;palpada_fasciculata;ornidia_major;pseudodoros_clavatus;argentinomya_migrans;argentinomyia_sp1;argentinomyia_sp2;rhingia_nigra;ocyptamus_sp;toxomerus_elisa;toxomerus_dispar;quichuana_sp;salpingogaster_sp;allograpta_exotica;allograpta_neotropica;allograpta_hastata;mesembrinellidae_sp;mididae_sp;diptera_sp1;diptera_sp2;sarcophagidae_sp1;sarcophagidae_sp2;sarcophagidae_sp3;sarcophagidae_sp4;sarcophagidae_sp5;sarcophagidae_sp6;sarcophagidae_sp7;sarcophagidae_sp8;muscidae_sp1;muscidae_sp2;muscidae_sp3;muscidae_sp4;calliphoridae_sp1;calliphoridae_sp2;calliphoridae_sp3;calliphoridae_sp4;calliphoridae_sp5;tachinidae_sp1;tachinidae_sp2;tachinidae_sp3;tachinidae_sp4;tachinidae_sp5;tachinidae_sp6;tachinidae_sp7;tachinidae_sp8;tachinidae_sp9;conopidae _sp;acroceridae_sp;asillidae_sp1;asillidae_sp2;stratiomyida_sp;bombyliidae_sp1;bombyliidae_sp2;bombyliidae_sp3;danaus_gilippus;chioides_catillus;dircenna_dero;lycorea_halia;dione_juno;mechanitis_lysimnia;episcada_hymenaea;xenophanes_tryxus;dryadula_phaetusa;biblis_hyperia;heliconius_erato;parides_agavus;battus_polydmas;eurema_nise;ascia_monuste;actinote_pellenea;aeria_olena;actinote_canutia;adelpha_syma;phoebis_sennae;ortilia_ithra;urbanus_sp;tegosa_claudina;anthocoridae_sp;membracidae_sp;Pentatomidae_sp;haplothrips_gowdeyi;pachymenes_picturatus;omicron_sp1;omicron_sp2;omicron_sp3;omicron_paranymphus;omicron_aff_opifex;hypalastoroides_brasiliensis;pachodynerus_argentinus;pachodynerus_nasidens;pchodynerus_guadulpensis;pchodynerus_grandis;hypancistrocerus_dentiformis;hypancistrocerus_adrena;parancistrocerus_sp2;stenodynerus_sp;hypodynerus_arechavaletae;trimeria_howardi;trimeria_americana;omicron_tuberculatun;omicron_gondwanianum;omicron_spegazzinii;montezumia_pelagica;montezumia_infernalis;montezumia_nigriceps;montezumia_petiolata;zeta_argillaceum;brachymenes_dyscherus;stenonartonia_apicipennis;Pachymenes_olympicus;pachymenes_sericeus;pirhosigma_limpidum;pirhosigma_superficiale;alphamenes_campanulatus;minixi_tricoloratum;minixi_brasilianum;apidae_sp2;apidae_sp3;apidae_sp4;apidae_sp5;apidae_sp6;apidae_sp7;apidae_sp8;apidae_sp9;apidae_sp10;apidae_sp11;apidae_sp12;apidae_sp13;apidae_sp14;apidae_sp15;apidae_sp16;apidae_sp17;apidae_sp18;apidae_sp19;apidae_sp20;zethus_brasiliensis;bombus_sp;tiphiidae_sp1;tiphiidae_sp2;tiphiidae_sp3;scoliidae_sp1;scoliidae_sp2;scoliidae_sp3;scoliidae_sp4;megachile_nigripenes;euglossa_sp;eulaema_nigrita;exaerete_smaragdina;eufriesea_violacea;xylocopa_sp1;xylocopa_sp2;xylocopa_sp3;xylocopa_sp4;xylocopa_subsciane;epicharis_sp1 ;epicharis_sp2;epicharis_sp3;epicharis_sp4;epicharis_sp5;centris_scopepis;centris_tarsata;centris_aenea;centris_analis;centris_sp1;centris_sp2;centris_sp4;oxea_flavescens;centris_sp3;eucerini_sp1;eucerini_sp2;exomalopsis_sp1;exomalopsis_sp2;exomalopsis_analis;tetrapedia_sp1;tetrapedia_sp2;paratetrapedia_sp1;paratetrapedia_sp2;trypoxylon_sp1;schwaziana_quadripunctata;trypoxylon_sp2;trigona_spinipes;oxytrigona_tataira;scapotrigona_tubiba;cephalotrigona_captata;scaptotrigona_xanthotricha;trigona_sp;melipona_rufiventris ;melipona_quadrifasciata;melipona_quinquefasciata;melipona_marginata;paratrigona_lineata;trigona_hialinata;paratrigona_subnuda;tetragona_clavipes;partamona_helleri;Neochrysis_sp;megachile_sp1;megachile_sp2;megachile_sp3;megachile_sp4;megachilidae_sp3;megachilidae_sp4;megachilidae_sp5;megachilidae_sp6;hypanthidium_sp1;hypanthidium_sp2;coelioxys_sp;sceliphron_sp1;chalcididae_sp; braconidae_sp1;cynipidae_sp;Ichneumonidae_sp1;Ichneumonidae_sp2;Ichneumonidae_sp3;Ichneumonidae_sp4;Ichneumonidae_sp5;Ichneumonidae_sp6;Ichneumonidae_sp7;Ichneumonidae_sp8;Ichneumonidae_sp9;Ichneumonidae_sp10;braconidae_sp2;braconidae_sp3;ipsiura_sp;neochrysis_sp;pteromalidae_sp;eucharitidae_sp;platygastridae_sp;eulophidae_sp;polybia_platicaphala;polybia_sericea;chrysomelidae_sp;curculionidae_sp;lagriidae_sp;lampyridae_sp;coleoptera_sp1;polistes_geminatus ;polistes_actaeon;polistes_versicolor;polistes_simillimus;polistes_cinerascens;polistes_subsericius;polistes_billardieri;polistes_ferreri;pseudopolybia_vespiceps ;synoeca_cyanea;parachartergus_fraternus;brachygastra_lecheguana;bicyrtes_sp;benbicini_sp;isodontia_costipennis;polybia_ chrysothorax;Clypearia_angustior;polybia_fastidiosuscula;polybia_ignobilis;protonectarina_sylveirae;polybia_jurinei;polybia_bifasciata;polybia_occidentalis;protopolybia_seduala;polybia_punctata;polybia_minarum;hypancistrocerus_sp;pachodynerus_sp;pompilidae_sp1;pompilidae_sp2;pompilidae_sp3;pompilidae_sp4;pompilidae_sp5;pompilidae_sp6;pompilidae_sp7;mesoplia_sp1;mesocheira_bicolor;mesocheira_sp;sphecidae_sp1;sphecidae_sp2;sphecidae_sp3;sphecidae_sp4;sphecidae_sp5;sphecidae_sp6;sphecidae_sp7;sphecidae_sp8;sphecidae_sp9;sphecidae_sp10;sphecidae_sp11;sphecidae_sp12;sphecidae_sp13;sphecidae_sp14;sphecidae_sp15;mischocyttarus_sp1;mischocyttarus_sp2;mischocyttarus_sp3;mischocyttarus_cassununga;átetragonisca_angustula;hymenoptera_sp1;hymenoptera_sp2;hymenoptera_sp3;hymenoptera_sp4;agelaia_multipicta;exomalopsis_auropilosa;bombus_atratus;halictidae_sp1;halictidae_sp2;halictidae_sp3;halictidae_sp4;halictidae_sp5;augochlora_sp1;augochlora_sp2;augochlora_sp3;augochlora_sp4;augochlora_sp5;augochlora_sp6;augochlora_sp7;dialictus_sp;bombus_morio;pseudaugochlora_sp1;pseudaugochlora_sp2;pseudaugochlora_sp3;pseudaugochlora_sp4;pseudaugochlora_sp5;pseudaugochlora_sp6;pseudaugochlora_sp7;pseudaugochlora_sp8;pseudaugochlora_sp9;neocorynura_sp;ceratina_sp1;ceratina_sp2;pepsi_sp1;pepsi_sp2;apis_mellifera;chrysopidae_sp;omidia_obesa;toxomerus_sp;asilidae_sp;midas_sp;tephritida_sp1;tephritida_sp2;tachinidae_sp10;tachinidae_sp11;tachinidae_sp12;penapodium_sp;podium_sp;multilidae_sp
Gouania_sp;0;1;0;1;0;0;1;0;0;0;1;3;0;3;1;2;0;1;1;2;1;2;3;1;1;1;2;2;1;0;0;3;0;0;1;1;0;2;1;0;3;2;3;1;3;2;1;1;2;0;1;0;0;0;0;1;1;0;0;0;0;1;2;1;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;2;3;1;0;0;0;0;0;0;4;3;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;1;0;1;1;0;2;1;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;1;1;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;2;1;2;1;0;0;0;1;0;1;1;0
Gouania_sp;0;0;0;0;0;0;0;0;0;0;2;3;0;3;1;2;0;1;1;2;1;2;3;1;2;1;2;2;1;0;0;3;0;0;1;1;0;2;1;0;3;2;3;1;3;2;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;2;3;1;0;0;0;0;0;0;4;3;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;1;0;1;1;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;1;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;2;1;2;1;0;0;0;1;0;1;1;0
planta_(6);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
planta_(6);0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
planta_(4);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planta_(3);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planta_(10);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planta_(10);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planta_(10);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
planta_(10);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
