id;ordem;familia;sociality;weight;degree;betweenness;closeness;c;z;core;Role;eig
acroceridae_sp;D;others;No;10;2;8.516201226;0.00070028;0.5;-0.870337821;-0.81308153;P;0.070586149
actinote_canutia;L;others;No;20;3;13.18861631;0.000592417;0.666666667;-0.870337821;-0.666446766;C;0.139639221
actinote_pellenea;L;others;No;29;6;142.803071;0.000786164;0.444444444;-0.426575382;-0.226542473;P;0.154611291
adelpha_syma;L;others;No;17;11;205.2799564;0.000822368;0.79338843;0.270729095;0.506631349;C;0.120220219
aeria_olena;L;others;No;9;16;748.1419877;0.00087108;0.671875;0.703895648;1.23980517;C;0.015446157
agelaia_multipicta;H;Vespidae;Yes;284;1;0;0.000615764;0;-0.752972089;-0.959716294;P;0.333411057
allograpta_exotica;D;others;No;7;6;133.5712307;0.000797448;0.722222222;-0.162437457;-0.226542473;C;0.053943518
allograpta_hastata;D;others;No;24;7;59.37940816;0.000792393;0.693877551;0.188243022;-0.079907709;C;0.11859984
allograpta_neotropica;D;others;No;48;3;15.73338223;0.00069541;0.444444444;-0.162437457;-0.666446766;P;0.167852817
alphamenes_campanulatus;H;Vespidae;No;19;3;12.32241703;0.000711238;0.444444444;-0.248667949;-0.666446766;P;0.182199427
anthocoridae_sp;He;others;No;22;7;104.5621829;0.000770416;0.448979592;-0.087412988;-0.079907709;P;0.19882152
apidae_sp10;H;Apidae;No;5;5;96.68707061;0.000725689;0.56;-0.765737776;-0.373177237;P;0.035728483
apidae_sp11;H;Apidae;No;14;2;6.415966669;0.000681199;0.5;-1.444062564;-0.81308153;P;0.054921687
apidae_sp12;H;Apidae;No;11;7;98.60072117;0.00069541;0.489795918;-0.426575382;-0.079907709;P;0.042762725
apidae_sp13;H;Apidae;No;6;4;13.00451648;0.000673854;0;-0.426575382;-0.519812002;P;0.026823769
apidae_sp14;H;Apidae;No;7;2;3.2407369;0.000660502;0;-1.10490017;-0.81308153;P;0.037332343
apidae_sp15;H;Apidae;No;15;4;79.75672879;0.000672948;0;-0.426575382;-0.519812002;P;0.069682403
apidae_sp16;H;Apidae;No;8;6;123.5849841;0.000768049;0.277777778;-0.087412988;-0.226542473;P;0.037021588
apidae_sp17;H;Apidae;No;18;3;7.844310563;0.000672043;0;-0.765737776;-0.666446766;P;0.106368404
apidae_sp18;H;Apidae;No;13;9;349.3674879;0.000823723;0.592592593;-0.087412988;0.21336182;P;0.079146017
apidae_sp19;H;Apidae;No;17;6;103.4246279;0.000764526;0.611111111;-0.162437457;-0.226542473;P;0.086511978
apidae_sp2;H;Apidae;No;10;2;7.391965591;0.000706215;0.5;-0.752972089;-0.81308153;P;0.063009526
apidae_sp20;H;Apidae;No;16;10;356.2609012;0.000807754;0.46;0.5909118;0.359996584;P;0.080412237
apidae_sp3;H;Apidae;No;2;6;82.07085861;0.000735294;0.5;-0.426575382;-0.226542473;P;0.020818742
apidae_sp4;H;Apidae;No;13;2;3.357288558;0.000642674;0.5;-0.752972089;-0.81308153;P;0.064920274
apidae_sp5;H;Apidae;No;4;7;178.0207358;0.000729927;0.448979592;-0.087412988;-0.079907709;P;0.032798467
apidae_sp6;H;Apidae;No;8;3;8.043507744;0.000664894;0;-0.765737776;-0.666446766;P;0.064920274
apidae_sp7;H;Apidae;No;8;7;178.0207358;0.000729927;0.448979592;-0.087412988;-0.079907709;P;0.05693545
apidae_sp8;H;Apidae;No;3;5;57.65129609;0.000702247;0.56;0.188243022;-0.373177237;P;0.01724132
apidae_sp9;H;Apidae;No;14;2;5.288595026;0.000622665;0;-1.10490017;-0.81308153;P;0.053062525
apis_mellifera;H;Apidae;Yes;1549;2;7.039697495;0.000670241;0.5;-0.59560401;-0.81308153;P;0.331716933
argentinomya_migrans;D;others;No;9;9;155.7133838;0.00085034;0.765432099;0.270729095;0.21336182;C;0.091418253
argentinomyia_sp1;D;others;No;17;5;36.8664628;0.000745156;0.8;-0.752972089;-0.373177237;C;0.199601703
argentinomyia_sp2;D;others;No;20;10;173.1903709;0.000847458;0.76;0.703895648;0.359996584;C;0.18273279
ascia_monuste;L;others;No;8;7;206.1656223;0.000725689;0.612244898;0.270729095;-0.079907709;P;0.077567747
asilidae_sp;D;others;No;28;19;627.0361925;0.000924214;0.814404432;0.51265475;1.679709463;C;0.149626553
asillidae_sp1;D;others;No;6;4;25.22112939;0.000732064;0.625;-0.248667949;-0.519812002;C;0.061816948
asillidae_sp2;D;others;No;5;3;18.81441529;0.000729927;0.666666667;-0.870337821;-0.666446766;C;0.048724637
augochlora_sp1;H;halictidae;No;12;9;160.4039393;0.000686813;0.37037037;0.5909118;0.21336182;P;0.336852884
augochlora_sp2;H;halictidae;No;16;8;163.2099297;0.000830565;0.65625;-0.426575382;0.066727056;C;0.124950758
augochlora_sp3;H;halictidae;No;22;11;387.4162248;0.000830565;0.743801653;-0.426575382;0.506631349;C;0.129653471
augochlora_sp4;H;halictidae;No;18;10;306.903861;8.00E-04;0.48;0.5909118;0.359996584;P;0.098944776
augochlora_sp5;H;halictidae;No;17;10;200.2543927;0.000763359;0.66;-0.087412988;0.359996584;C;0.093316097
augochlora_sp6;H;halictidae;No;12;7;100.0835604;0.000684932;0.448979592;-0.087412988;-0.079907709;P;0.042412949
augochlora_sp7;H;halictidae;No;23;6;94.58480255;0.000684932;0.5;-0.426575382;-0.226542473;P;0.043100763
battus_polydmas;L;others;No;10;1;0;0.000579374;0;-0.59560401;-0.959716294;P;0.050400916
benbicini_sp;H;crabronidae;No;5;4;11.76790694;0.000706215;0.625;-0.248667949;-0.519812002;C;0.113680246
biblis_hyperia;L;others;No;4;4;47.93662086;0.000755287;0.5;-1.10490017;-0.519812002;P;0.041158427
bicyrtes_sp;H;crabronidae;No;5;18;544.6978229;0.000881834;0.814814815;2.23801154;1.533074699;C;0.01241782
bombus_atratus;H;Apidae;Yes;54;6;73.18826885;0.000762195;0.5;-0.426575382;-0.226542473;P;0.075859401
bombus_morio;H;Apidae;Yes;39;24;1336.776025;0.000856164;0.625;2.965048559;2.412883284;NH;0.154230179
bombus_sp;H;Apidae;No;5;2;6.614447988;0.00069735;0.5;-0.752972089;-0.81308153;P;0.117543428
bombyliidae_sp1;D;others;No;19;2;7.126883624;0.000718391;0.5;-0.59560401;-0.81308153;P;0.014291658
bombyliidae_sp2;D;others;No;4;7;100.8934161;0.000810373;0.775510204;-0.162437457;-0.079907709;C;0.141622684
bombyliidae_sp3;D;others;No;6;3;6.479565995;0.000662252;0.444444444;-1.444062564;-0.666446766;P;0.040525377
brachygastra_lecheguana;H;Vespidae;Yes;75;14;309.923231;0.000875657;0.785714286;1.616341668;0.946535641;C;0.113706157
brachymenes_dyscherus;H;Vespidae;No;1;8;165.1764114;0.000862069;0.71875;-0.162437457;0.066727056;C;0.255192847
braconidae_sp1;H;braconidae;No;3;2;6.288208048;0.000682128;0.5;-0.870337821;-0.81308153;P;0.016332236
braconidae_sp2;H;braconidae;No;4;2;5.861699982;0.000681199;0;-0.162437457;-0.81308153;P;0.058054198
braconidae_sp3;H;braconidae;No;3;2;9.210370132;0.000712251;0.5;-0.870337821;-0.81308153;P;0.049080661
calliphoridae_sp1;D;others;No;42;7;72.23640952;0.000793651;0.653061224;0.188243022;-0.079907709;C;0.028375074
calliphoridae_sp2;D;others;No;25;10;254.9339299;0.000896057;0.78;-0.162437457;0.359996584;C;0.229860289
calliphoridae_sp3;D;others;No;24;7;110.3026088;0.000846024;0.693877551;0.270729095;-0.079907709;C;0.172654434
calliphoridae_sp4;D;others;No;23;7;147.2354876;0.000865052;0.734693878;1.257386827;-0.079907709;C;0.17866133
